"airport","airportName","chart","status","codedId","faaExcluded","entries","incompleteEntries","unofferedTransitions","entryWarnings","plateUrl"
"KRYN","RYAN FLD","RNAV (GPS) RWY 06R","matched","KRYN:R06R","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/06513R6R.PDF"
"KSAD","SAFFORD RGNL/1LT DUANE SPALSBURY FLD","RNAV (GPS) RWY 12","matched","KSAD:R12","false","5","0","","","https://aeronav.faa.gov/d-tpp/2609/00789R12.PDF"
"KSAD","SAFFORD RGNL/1LT DUANE SPALSBURY FLD","RNAV (GPS) RWY 30","matched","KSAD:R30","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/00789R30.PDF"
"KSDL","SCOTTSDALE","RNAV (RNP) RWY 21","matched","KSDL:H21","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/05651RR21.PDF"
"KSDL","SCOTTSDALE","RNAV (RNP) Y RWY 03","matched","KSDL:H03-Y","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/05651RRY3.PDF"
"KSDL","SCOTTSDALE","RNAV (RNP) Z RWY 03","matched","KSDL:H03-Z","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/05651RRZ3.PDF"
"KSDL","SCOTTSDALE","RNAV (GPS)-D","matched","KSDL:RNV-D","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/05651RD.PDF"
"KSDL","SCOTTSDALE","RNAV (GPS)-E","matched","KSDL:RNV-E","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/05651RE.PDF"
"KSDL","SCOTTSDALE","VOR/DME-A","matched","KSDL:VDM-A","false","2","0","","","https://aeronav.faa.gov/d-tpp/2609/05651VDA.PDF"
"KSEZ","SEDONA","RNAV (GPS) RWY 03","matched","KSEZ:R03","false","4","0","","","https://aeronav.faa.gov/d-tpp/2609/06169R3.PDF"
"KSJN","ST JOHNS INDUSTRIAL AIR PARK","RNAV (GPS) RWY 14","matched","KSJN:R14","false","3","0","","","https://aeronav.faa.gov/d-tpp/2609/06586R14.PDF"
